2024-07-31,13:33:38.741.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2006\11Galapagos  461 files
2024-07-31,13:33:38.742.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2006 max_year=2006
2024-07-31,13:33:38.744.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2006\EBay  30 files
2024-07-31,13:33:38.744.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2006 max_year=2006
2024-07-31,13:33:38.747.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2007  3 dirs  1182 files
2024-07-31,13:33:38.747.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2007 max_year=2007
2024-07-31,13:33:38.755.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2007\10ErieCanal  1459 files
2024-07-31,13:33:38.755.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2007 max_year=2007
2024-07-31,13:33:38.764.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2007\11Egypt  1738 files
2024-07-31,13:33:38.764.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2007 max_year=2007
2024-07-31,13:33:38.771.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2007\EBay  45 files
2024-07-31,13:33:38.772.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2007 max_year=2007
2024-07-31,13:33:38.776.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2008  1858 files
2024-07-31,13:33:38.777.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2008 max_year=2008
2024-07-31,13:33:38.786.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2008-2012TheSisters  1048 files
2024-07-31,13:33:38.786.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2008 max_year=2012
2024-07-31,13:33:38.793.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2009  1 dirs  1623 files
2024-07-31,13:33:38.793.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2009 max_year=2009
2024-07-31,13:33:38.801.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2009\02Florida  365 files
2024-07-31,13:33:38.802.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2009 max_year=2009
2024-07-31,13:33:38.808.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2010  1 dirs  2294 files
2024-07-31,13:33:38.808.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2010 max_year=2010
2024-07-31,13:33:38.819.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2010\08ErieCanal  417 files
2024-07-31,13:33:38.819.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2010 max_year=2010
2024-07-31,13:33:38.822.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2011  551 files
2024-07-31,13:33:38.822.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2011 max_year=2011
2024-07-31,13:33:38.825.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2012  2 dirs  0 files
2024-07-31,13:33:38.825.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2012 max_year=2012
2024-07-31,13:33:38.825.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2012\01MiddleEast  157 files
2024-07-31,13:33:38.826.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2012 max_year=2012
2024-07-31,13:33:38.827.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2012\04CostaRica  36 files
2024-07-31,13:33:38.827.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2012 max_year=2012
2024-07-31,13:33:38.829.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2013  1 dirs  581 files
2024-07-31,13:33:38.829.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2013 max_year=2013
2024-07-31,13:33:38.832.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2013\05Alaska  446 files
2024-07-31,13:33:38.832.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2013 max_year=2013
2024-07-31,13:33:38.837.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2014  1 dirs  701 files
2024-07-31,13:33:38.837.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2014 max_year=2014
2024-07-31,13:33:38.840.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2014\03Hawaii  157 files
2024-07-31,13:33:38.840.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2014 max_year=2014
2024-07-31,13:33:38.844.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2015  2 dirs  617 files
2024-07-31,13:33:38.844.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2015 max_year=2015
2024-07-31,13:33:38.847.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2015\10Scotland  574 files
2024-07-31,13:33:38.847.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2015 max_year=2015
2024-07-31,13:33:38.852.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2015\Jack  92 files
2024-07-31,13:33:38.852.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2015 max_year=2015
2024-07-31,13:33:38.853.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2016  1 dirs  612 files
2024-07-31,13:33:38.855.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2016 max_year=2016
2024-07-31,13:33:38.858.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2016\Jack  37 files
2024-07-31,13:33:38.858.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2016 max_year=2016
2024-07-31,13:33:38.860.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2017  527 files
2024-07-31,13:33:38.860.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2017 max_year=2017
2024-07-31,13:33:38.862.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2018  1 dirs  161 files
2024-07-31,13:33:38.863.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2018 max_year=2018
2024-07-31,13:33:38.865.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2018\12Hawaii  97 files
2024-07-31,13:33:38.865.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2018 max_year=2018
2024-07-31,13:33:38.868.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2019  1 dirs  1362 files
2024-07-31,13:33:38.869.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2019 max_year=2019
2024-07-31,13:33:38.876.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2019\09Cabo  360 files
2024-07-31,13:33:38.876.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2019 max_year=2019
2024-07-31,13:33:38.879.0,INFO,__main__,adjust_metadata.adjust_metadata:34,C:\Users\nedlecky\ACDSee\01Personal\2020  7 dirs  333 files
2024-07-31,13:33:38.879.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.880.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\01Spokane  23 files
2024-07-31,13:33:38.881.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.882.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\02England  807 files
2024-07-31,13:33:38.883.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
2024-07-31,13:33:38.887.0,INFO,__main__,adjust_metadata.adjust_metadata:32,C:\Users\nedlecky\ACDSee\01Personal\2020\07-1Leavenworth  80 files
2024-07-31,13:33:38.888.0,INFO,__main__,adjust_metadata.adjust_metadata:52,min_year=2020 max_year=2020
